Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Recreio dos Bandeirantes;4;2;2;160;1900.0;830.0;
Apartamento;Taquara;4;1;1;110;1900.0;;
Apartamento;Tijuca;4;1;0;160;2000.0;1032.0;1056.0
Casa;Campo Grande;4;1;4;100;1600.0;;
Apartamento;Tijuca;4;1;2;190;2000.0;1247.0;353.0
Casa;Engenho de Dentro;4;3;0;120;1500.0;;
Apartamento;Recreio dos Bandeirantes;4;2;2;125;1700.0;;90.0
Casa de Vila;Méier;4;0;1;85;1600.0;;
Apartamento;Recreio dos Bandeirantes;4;4;1;145;2000.0;1350.0;390.0
Apartamento;Barra da Tijuca;4;2;2;114;2000.0;1174.0;130.0
Casa;Campo Grande;4;1;0;140;1700.0;;
Apartamento;Campo Grande;4;2;1;115;1900.0;500.0;
Casa;Campo Grande;4;4;4;100;2000.0;;2.0
Apartamento;Recreio dos Bandeirantes;4;2;1;105;1900.0;1492.0;205.0
Casa;Taquara;4;1;0;120;2000.0;633.0;
Apartamento;Cidade Nova;4;0;0;110;1300.0;;
Apartamento;Recreio dos Bandeirantes;4;2;2;153;2000.0;1414.0;352.0
Apartamento;Tijuca;4;2;1;188;2000.0;2000.0;309.0
Apartamento;Pechincha;4;1;2;178;1900.0;1100.0;270.0
Casa;Riachuelo;4;0;1;100;1800.0;;40.0
Casa;Méier;4;1;1;125;1900.0;;
Apartamento;Recreio dos Bandeirantes;4;2;3;280;1800.0;1400.0;580.0
Apartamento;Recreio dos Bandeirantes;4;3;2;250;1500.0;1380.0;700.0
Apartamento;Recreio dos Bandeirantes;4;2;1;160;1900.0;1093.0;183.0
Apartamento;Recreio dos Bandeirantes;4;2;1;160;1900.0;1038.0;158.0
Casa de Condomínio;Taquara;4;1;0;110;1750.0;550.0;993.0
Apartamento;Tijuca;4;2;1;188;2000.0;2000.0;309.0
Casa;Santo Cristo;5;0;0;85;1200.0;;
Apartamento;Copacabana;4;1;0;180;2000.0;1924.0;423.0
Apartamento;Leme;4;0;1;185;1800.0;2000.0;270.0
Apartamento;Tijuca;4;2;1;188;2000.0;2000.0;3090.0
Apartamento;Recreio dos Bandeirantes;4;2;1;160;1900.0;930.0;150.0
Apartamento;Camorim;4;1;1;96;1350.0;747.0;
Apartamento;Recreio dos Bandeirantes;4;2;2;153;2000.0;1534.0;387.0
Apartamento;Barra da Tijuca;4;3;4;148;1600.0;1766.0;
Apartamento;Recreio dos Bandeirantes;4;4;2;162;2000.0;1400.0;380.0
Casa;Praça Seca;4;1;1;128;1600.0;;228.0
Casa de Vila;Santo Cristo;4;0;0;110;2000.0;70.0;15.0
Casa de Condomínio;Freguesia (Jacarepaguá);4;2;1;120;1800.0;195.0;30.0
Casa;Pedra de Guaratiba;4;1;0;100;1300.0;;
Apartamento;Tijuca;4;2;1;188;2000.0;2000.0;380.0
Apartamento;Campo Grande;4;2;2;160;1900.0;880.0;
Apartamento;Recreio dos Bandeirantes;4;2;2;160;1900.0;912.0;160.0
Apartamento;Rio Comprido;4;1;0;110;1650.0;500.0;
Casa;Campo Grande;4;3;0;120;1700.0;;
Apartamento;Recreio dos Bandeirantes;4;2;2;155;2000.0;800.0;237.0
Box/Garagem;Centro;5;5;0;30;490.0;220.0;
Apartamento;Taquara;4;3;1;190;1200.0;;
Casa;Rio Comprido;6;1;0;380;2000.0;;320.0
Casa;Campo Grande;4;0;1;366;1890.0;;208.0
Casa;Campo Grande;4;0;0;159;1800.0;;
Casa;Braz de Pina;4;1;0;99;1800.0;;
Casa;Campo Grande;4;1;3;100;1600.0;;
Casa de Condomínio;Freguesia (Jacarepaguá);4;3;1;63;2000.0;416.0;
Casa;Campo Grande;4;1;2;180;1850.0;300.0;
Apartamento;Campo Grande;4;1;1;80;1600.0;950.0;
Apartamento;Campo Grande;4;2;1;140;2000.0;600.0;
Apartamento;Barra da Tijuca;4;3;4;148;1500.0;1600.0;196.0
Apartamento;Vargem Grande;4;0;1;180;1900.0;;176.0
Apartamento;Recreio dos Bandeirantes;4;2;2;160;1900.0;1038.0;
Casa;Campo Grande;4;2;0;120;1600.0;;
